Dates,Sid
6/28/2002,3103
6/28/2002,4876
6/28/2002,5452
6/28/2002,1975
6/28/2002,4266
6/28/2002,17104
6/28/2002,2938
6/28/2002,50535
6/28/2002,209
6/28/2002,22332
6/28/2002,967
6/28/2002,3082
6/28/2002,7211
6/28/2002,25007
6/28/2002,5509
6/28/2002,107
6/28/2002,205
6/28/2002,4161
6/28/2002,15728
6/28/2002,60
6/28/2002,2755
6/28/2002,4553
6/28/2002,4117
6/28/2002,7369
6/28/2002,1826
6/28/2002,902
6/28/2002,15910
6/28/2002,328
6/28/2002,50763
6/28/2002,6940
6/28/2002,1111
6/28/2002,5387
6/28/2002,6665
6/28/2002,32562
6/28/2002,6799
6/28/2002,6199
6/28/2002,5163
6/28/2002,569
6/28/2002,10555
6/28/2002,38554
6/28/2002,2254
6/28/2002,22092
6/28/2002,7862
6/28/2002,26438
6/28/2002,21500
6/28/2002,5669
6/28/2002,583
6/28/2002,20744
6/28/2002,23474
6/28/2002,1403
6/28/2002,1745
6/28/2002,6616
6/28/2002,6653
6/28/2002,3234
6/28/2002,21435
6/28/2002,272
6/28/2002,1072
6/28/2002,2938
6/28/2002,4627
6/28/2002,3840
6/28/2002,1274
6/28/2002,24757
6/28/2002,50428
6/28/2002,24
6/28/2002,22954
6/28/2002,49
6/28/2002,62
6/28/2002,64
6/28/2002,114
6/28/2002,45734
6/28/2002,122
6/28/2002,128
6/28/2002,630
6/28/2002,67
6/28/2002,24783
6/28/2002,161
6/28/2002,166
6/28/2002,168
6/28/2002,185
6/28/2002,8572
6/28/2002,40686
6/28/2002,24838
6/28/2002,337
6/28/2002,17799
6/28/2002,351
6/28/2002,368
6/28/2002,45734
6/28/2002,438
6/28/2002,448
6/28/2002,455
6/28/2002,50286
6/28/2002,24829
6/28/2002,50843
6/28/2002,24840
6/28/2002,660
6/28/2002,663
6/28/2002,669
6/28/2002,679
6/28/2002,17618
6/28/2002,693
6/28/2002,698
6/28/2002,700
6/28/2002,734
6/28/2002,739
6/28/2002,16850
6/28/2002,754
6/28/2002,755
6/28/2002,789
6/28/2002,794
6/28/2002,338
6/28/2002,812
6/28/2002,822
6/28/2002,838
6/28/2002,22657
6/28/2002,903
6/28/2002,939
6/28/2002,948
6/28/2002,963
6/28/2002,975
6/28/2002,980
6/28/2002,995
6/28/2002,1025
6/28/2002,18529
6/28/2002,1131
6/28/2002,38602
6/28/2002,1209
6/28/2002,1228
6/28/2002,1376
6/28/2002,17991
6/28/2002,1267
6/28/2002,8580
6/28/2002,1283
6/28/2002,7962
6/28/2002,1332
6/28/2002,24692
6/28/2002,1321
6/28/2002,36572
6/28/2002,1359
6/28/2002,1539
6/28/2002,16453
6/28/2002,1550
6/28/2002,1551
6/28/2002,1607
6/28/2002,1616
6/28/2002,1620
6/28/2002,1985
6/28/2002,1665
6/28/2002,8620
6/28/2002,1687
6/28/2002,24064
6/28/2002,23998
6/28/2002,12160
6/28/2002,22880
6/28/2002,23998
6/28/2002,1787
6/28/2002,1795
6/28/2002,15634
6/28/2002,1835
6/28/2002,1898
6/28/2002,1900
6/28/2002,1937
6/28/2002,1941
6/28/2002,1942
6/28/2002,1960
6/28/2002,14014
6/28/2002,19203
6/28/2002,4799
6/28/2002,23112
6/28/2002,2071
6/28/2002,2113
6/28/2002,2126
6/28/2002,2127
6/28/2002,25317
6/28/2002,2170
6/28/2002,33964
6/28/2002,2193
6/28/2002,2212
6/28/2002,2262
6/28/2002,2263
6/28/2002,12882
6/28/2002,50371
6/28/2002,2351
6/28/2002,2368
6/28/2002,19071
6/28/2002,2427
6/28/2002,2434
6/28/2002,2465
6/28/2002,14372
6/28/2002,2482
6/28/2002,2518
6/28/2002,10594
6/28/2002,2530
6/28/2002,2564
6/28/2002,17200
6/28/2002,2568
6/28/2002,9540
6/28/2002,2633
6/28/2002,2637
6/28/2002,22114
6/28/2002,2673
6/28/2002,25132
6/28/2002,2752
6/28/2002,2760
6/28/2002,2765
6/28/2002,17850
6/28/2002,26204
6/28/2002,2853
6/28/2002,2855
6/28/2002,24833
6/28/2002,2925
6/28/2002,3014
6/28/2002,2069
6/28/2002,3136
6/28/2002,12321
6/28/2002,3144
6/28/2002,3149
6/28/2002,3166
6/28/2002,3214
6/28/2002,3241
6/28/2002,3303
6/28/2002,3306
6/28/2002,3321
6/28/2002,3327
6/28/2002,3384
6/28/2002,10395
6/28/2002,3421
6/28/2002,3443
6/28/2002,3460
6/28/2002,3472
