Link, Anchor Text
"https://careers.societegenerale.com/Search/job-offers-search-results?from=none&ob=0&pp=200&o=1#mainContainer", Go to the content
"https://careers.societegenerale.com/Search/job-offers-search-results?from=none&ob=0&pp=200&o=1#searchForm", Search
"https://careers.societegenerale.com/Search/job-offers-search-results?from=none&ob=0&pp=200&o=1#menu", Go to the menu
"https://careers.societegenerale.com/", Home
"https://careers.societegenerale.com/Search/job-offers-search-results?localeHidden=cs_CZ", CS
"https://careers.societegenerale.com/Search/job-offers-search-results?localeHidden=de_DE", DE
"https://careers.societegenerale.com/Search/job-offers-search-results?localeHidden=en_GB", EN
"https://careers.societegenerale.com/Search/job-offers-search-results?localeHidden=es_ES", ES
"https://careers.societegenerale.com/Search/job-offers-search-results?localeHidden=fr_FR", FR
"https://careers.societegenerale.com/Search/job-offers-search-results?localeHidden=it_IT", IT
"https://careers.societegenerale.com/Search/job-offers-search-results?localeHidden=ro_RO", RO
"https://careers.societegenerale.com/Search/job-offers-search-results?localeHidden=ru_RU", RU
"https://careers.societegenerale.com/Search/job-offers-search-results?from=none&ob=0&pp=200&o=1#", 
"https://socgen.taleo.net/careersection/sgcareers/profile.ftl?lang=en-GB&src=CWS-1", CANDIDATE SPACE
"https://careers.societegenerale.com/about-us/discover-our-group/societe-generale-at-a-glance", ABOUT US
"https://careers.societegenerale.com/about-us/your-career-at-societe-generale/7-reasons-to-work-at-societe-generale", YOUR CAREER
"https://careers.societegenerale.com/activities", ACTIVITIES
"https://careers.societegenerale.com/business-units", BUSINESS UNITS
"https://careers.societegenerale.com/job-functions", JOB FUNCTIONS
"https://careers.societegenerale.com/locations", LOCATIONS
"https://careers.societegenerale.com/News-en/News", NEWS
"https://careers.societegenerale.com/Search/job-offers-search-results?from=none&ob=0&pp=200&o=1#searchInfo", 
"https://careers.societegenerale.com/Search/advanced-search", Search
"https://careers.societegenerale.com/Search/job-offers-search-results?from=none&ob=0&pp=200&o=0", 
"https://careers.societegenerale.com/Search/job-offers-search-results?from=none&ob=1&pp=200&o=0", 
"https://careers.societegenerale.com/Search/job-offers-search-results?from=none&ob=2&pp=200&o=0", 
"https://careers.societegenerale.com/Search/job-offers-search-results?from=none&ob=3&pp=200&o=0", 
"https://careers.societegenerale.com/Search/job-offers-search-results?from=none&ob=4&pp=200&o=0", 
"https://careers.societegenerale.com/Search/job-offers-search-results?from=none&ob=5&pp=200&o=0", 
"https://careers.societegenerale.com/job-offers/INTERNSHIP---Debt-Capital-Markets-Analyst-18000LK9-en", INTERNSHIP - Debt Capital Markets Analyst
"https://careers.societegenerale.com/job-offers/Liquidity-reporting-VBA-analyst-M-F-VIE---Jersey-City-180006JZ-en", Liquidity reporting VBA analyst M/F-VIE - Jersey City
"https://careers.societegenerale.com/job-offers/Front-Office-Developer-M-F---VIE-New-York-City-18000EAU-en", Front Office Developer M/F - VIE New York City
"https://careers.societegenerale.com/job-offers/INTERNSHIP---Cloud-Software-Engineer-18000G4S-en", INTERNSHIP - Cloud Software Engineer
"https://careers.societegenerale.com/job-offers/INTERNSHIP---Compliance-IB-Advisory-18000HIM-en", INTERNSHIP - Compliance IB Advisory
"https://careers.societegenerale.com/job-offers/INTERNSHIP---Product-Marketing-Trainee-18000JN8-en", INTERNSHIP - Product Marketing Trainee
"https://careers.societegenerale.com/job-offers/FO-Lab-Developer-M-F---VIE-New-York-City-17000YD9-en", FO Lab Developer M/F - VIE New York City
"https://careers.societegenerale.com/job-offers/INTERNSHIP---Asset-Management-Marketing-Analyst-18000D4T-en", INTERNSHIP - Asset Management Marketing Analyst
"https://careers.societegenerale.com/job-offers/Business-Performance-Analysis-M-F-VIE-NEW-YORK-180000OE-en", Business Performance Analysis M/F-VIE NEW-YORK
"https://careers.societegenerale.com/job-offers/COO-Assistant-M-F---New-York-18000KJ2-en", COO Assistant M/F - New York
"https://careers.societegenerale.com/job-offers/Continuous-Delivery-Software-Developer-M-F---VIE---New-York-18000JUP-en", Continuous Delivery Software Developer M/F - VIE - New-York
"https://careers.societegenerale.com/job-offers/Junior-Trader-M-F---VIE-NEW-YORK-18000JUV-en", Junior Trader M/F - VIE NEW YORK
"https://careers.societegenerale.com/job-offers/Risk-and-Valuation-Analyst-M-F---VIE-New-York-18000JUJ-en", Risk and Valuation Analyst M/F - VIE New York
"https://careers.societegenerale.com/job-offers/Financial-engineer-assistant-M-F-VIE-NEW-YORK-18000IUG-en", Financial engineer assistant M/F-VIE NEW-YORK
"https://careers.societegenerale.com/job-offers/INTERNSHIP---Global-Market-COO-assistant---Equity-Sales-18000JOC-en", INTERNSHIP - Global Market COO assistant – Equity Sales
"https://careers.societegenerale.com/job-offers/INTERNSHIP---Client-On-Boarding-18000JNP-en", INTERNSHIP - Client On-Boarding
"https://careers.societegenerale.com/job-offers/INTERNSHIP---Regulatory-Standards-Officer-1800008M-en", INTERNSHIP - Regulatory Standards Officer
"https://careers.societegenerale.com/job-offers/INTERNSHIP---Credit-Analyst-18000GP1-en", INTERNSHIP - Credit Analyst
"https://careers.societegenerale.com/job-offers/INTERNSHIP---U-S--OFAC-Sanctions-Compliance-18000HIN-en", INTERNSHIP - U.S. OFAC Sanctions Compliance
"https://careers.societegenerale.com/job-offers/Junior-Infrastructure-Security-Engineer-M-F-VIE-Jersey-City-17001508-en", Junior Infrastructure Security Engineer M/F-VIE Jersey City
"https://careers.societegenerale.com/job-offers/INTERNSHIP---Operations-Clearing-Intern-180008JF-en", INTERNSHIP - Operations Clearing Intern
"https://careers.societegenerale.com/job-offers/INTERNSHIP---Sales-Analyst-180008PE-en", INTERNSHIP - Sales Analyst
"https://careers.societegenerale.com/job-offers/INTERNSHIP---AML-Compliance-180008O3-en", INTERNSHIP - AML Compliance
"https://careers.societegenerale.com/job-offers/Junior-Trade-Support-Analyst-M-F-VIE-NEW-YORK-18000HUJ-en", Junior Trade Support Analyst M/F-VIE-NEW-YORK
"https://careers.societegenerale.com/job-offers/Credit-Officer---CCP-18000HVV-en", Credit Officer - CCP
"https://careers.societegenerale.com/job-offers/Market-Analysis-and-Certification-Agile-Developer-M-F-VIE-New-York-18000IU9-en", Market Analysis and Certification Agile Developer M/F-VIE New-York
"https://careers.societegenerale.com/job-offers/Front-Office-Developer-M-F---VIE-New-York-18000H8G-en", Front Office Developer M/F - VIE New York
"https://careers.societegenerale.com/job-offers/Telecom-Expense-Management-and-IT-Support-M-F-VIE--Jersey-City-18000F3H-en", Telecom Expense Management and IT Support M/F VIE Jersey City
"https://careers.societegenerale.com/job-offers/Financial-Engineer-Assistant-M-F---VIE-New-York-18000HWF-en", Financial Engineer Assistant M/F - VIE New York
"https://careers.societegenerale.com/job-offers/Compliance-Advisory---Technology-and-Operations-18000420-en", Compliance Advisory – Technology and Operations
"https://careers.societegenerale.com/job-offers/Loan-Sales-Assistant-M-F---VIE-New-York-18000H8M-en", Loan Sales Assistant M/F - VIE New-York
"https://careers.societegenerale.com/job-offers/Production-Support-Assistant-M-F---VIE-New-York-18000HDL-en", Production Support Assistant M/F - VIE New York
"https://careers.societegenerale.com/job-offers/Corporate-Credit-Analyst-M-F-VIE--Chicago-18000GHX-en", Corporate Credit Analyst M/F-VIE- Chicago
"https://careers.societegenerale.com/job-offers/BO-Analyst-M-F-VIE-New-Jersey-180009Q4-en", BO Analyst M/F-VIE-New Jersey
"https://careers.societegenerale.com/job-offers/Tax-Analyst-M-F---VIE---New-York-18000AQU-en", Tax Analyst M/F - VIE - New York
"https://careers.societegenerale.com/job-offers/Market-Risk-Officer---Commodities-18000EVK-en", Market Risk Officer - Commodities
"https://careers.societegenerale.com/job-offers/Market-Access-python-developer-M-F---VIE-New-York-18000AKZ-en", Market Access python developer M/F - VIE New-York
"https://careers.societegenerale.com/job-offers/Credit-Risk-Officer--Leveraged-Finance--170016NU-en", Credit Risk Officer (Leveraged Finance)
"https://careers.societegenerale.com/job-offers/INTERNSHIP---OFAC-Compliance-1700166X-en", INTERNSHIP - OFAC Compliance
"https://careers.societegenerale.com/job-offers/INTERNSHIP---Trade-Surveillance--Chicago--17001672-en", INTERNSHIP - Trade Surveillance (Chicago)
"https://careers.societegenerale.com/job-offers/INTERNSHIP---ITEC-COO-180004RB-en", INTERNSHIP - ITEC COO
"https://careers.societegenerale.com/job-offers/INTERNSHIP---Central-Compliance-18000422-en", INTERNSHIP - Central Compliance
"https://careers.societegenerale.com/job-offers/INTERNSHIP---Regulatory-Reporting-Support-Clerk-180003PI-en", INTERNSHIP - Regulatory Reporting Support Clerk
"https://careers.societegenerale.com/job-offers/INTERNSHIP---Compliance-Project-Manager-180000XM-en", INTERNSHIP - Compliance Project Manager
"https://careers.societegenerale.com/job-offers/INTERNSHIP---Client-On-Boarding--Chicago--1800022L-en", INTERNSHIP - Client On-Boarding (Chicago)
"https://careers.societegenerale.com/job-offers/INTERNSHIP---Global-Transaction-Banking-1800022I-en", INTERNSHIP - Global Transaction Banking
"https://careers.societegenerale.com/job-offers/INTERNSHIP---Structured-Products-Financial-Engineer-17000XT9-en", INTERNSHIP - Structured Products Financial Engineer
"https://careers.societegenerale.com/job-offers/%E2%80%93----MACC-Full-Time-Analyst-17000S92-en", 2018 MACC Full-Time Analyst
"https://careers.societegenerale.com/job-offers/%E2%80%93----RISQ-Full-Time-Analyst-17000S8Z-en", 2018 RISQ Full-Time Analyst
"https://careers.societegenerale.com/job-offers/%E2%80%93----ITEC-Full-Time-Analyst-17000S90-en", 2018 ITEC Full-Time Analyst
"https://careers.societegenerale.com/job-offers/%E2%80%93----DFIN-Full-Time-Analyst-17000S91-en", 2018 DFIN Full-Time Analyst
"https://careers.societegenerale.com/job-offers/%E2%80%93----Audit-Full-Time-Analyst-17000S8W-en", 2018 Audit Full-Time Analyst
"https://careers.societegenerale.com/job-offers/%E2%80%93----CORI-Full-Time-Analyst-17000S8U-en", 2018 CORI Full-Time Analyst
"https://careers.societegenerale.com/job-offers/%E2%80%93----Compliance-Full-Time-Analyst-17000S8V-en", 2018 Compliance Full-Time Analyst
"https://careers.societegenerale.com/job-offers/%E2%80%93----GLFI-Full-Time-Analyst-17000S8R-en", 2018 GLFI Full-Time Analyst
"https://careers.societegenerale.com/job-offers/%E2%80%93----LYXOR-Full-Time-Analyst-17000S93-en", 2018 LYXOR Full-Time Analyst
"https://careers.societegenerale.com/job-offers/%E2%80%93----CORI-Full-Time-Analyst-17000S8S-en", 2018 CORI Full-Time Analyst
"https://careers.societegenerale.com/job-offers/%E2%80%93----CORI-Full-Time-Analyst-17000S8T-en", 2018 CORI Full-Time Analyst
"https://careers.societegenerale.com/job-offers/%E2%80%93----OPER-Full-Time-Analyst-17000S8O-en", 2018 OPER Full-Time Analyst
"https://careers.societegenerale.com/job-offers/%E2%80%93----OPER-Full-Time-Analyst-17000S8Q-en", 2018 OPER Full-Time Analyst
"https://careers.societegenerale.com/job-offers/%E2%80%93----MARK-Full-Time-Analyst-17000RLI-en", 2018 MARK Full-Time Analyst
"https://careers.societegenerale.com/job-offers/INTERNSHIP---Interest-Rate---Foreign-Exchange-Derivatives-17000RES-en", INTERNSHIP - Interest Rate & Foreign Exchange Derivatives
"https://careers.societegenerale.com/job-offers/INTERNSHIP---KYC-17000R3H-en", INTERNSHIP - KYC
"https://careers.societegenerale.com/job-offers/INTERNSHIP---Lyxor-Marketing-Developer-17000R3G-en", INTERNSHIP - Lyxor Marketing Developer
"https://careers.societegenerale.com/job-offers/INTERNSHIP---Debt-Capital-Markets-Originator-17000MPJ-en", INTERNSHIP - Debt Capital Markets Originator
"https://careers.societegenerale.com/job-offers/INTERNSHIP---COO-Central-Compliance-17000LIL-en", INTERNSHIP - COO/Central Compliance
"https://careers.societegenerale.com/job-offers/INTERNSHIP---Sales-Assistant-17000KF3-en", INTERNSHIP - Sales Assistant
"https://careers.societegenerale.com/job-offers/INTERNSHIP---Compliance-Anti-Money-Laundering-170003BQ-en", INTERNSHIP - Compliance Anti Money Laundering
"http://youtu.be/gOm6-xbndHY", Discover a Woman Shadowing Day
"http://youtu.be/poIItIVPgB0", Listen to the debrief on the Woman Shadowing Day
"http://youtu.be/YPy_gMm_rxE", #6 Elevator Speech - Romaine - Chargée de conformité
"http://youtu.be/RvrelfOgFvQ", #1 - INTERRO SURPRISE - La cybersécurité
"http://youtu.be/bkMRHlKCGrM", LA CYBERSECURITE par notre expert Stéphane
"https://www.youtube.com/playlist?list=PLO28QHeP4SE6s6hcc5_PcYVbZ2EiBZOQq", 
"https://www.facebook.com/careers.societegenerale", 
"https://www.linkedin.com/company/societe-generale/careers", 
"https://www.youtube.com/playlist?list=PL00692FE6571605F7", 
"https://twitter.com/careerssocgen", 
"https://careers.societegenerale.com/Bottom-Navigation/social-networks/socialnetworks", 
"https://careers.societegenerale.com/Bottom-Navigation/advice/the-cover-letter", ADVICE
"https://careers.societegenerale.com/footer/Cookies-en/Cookies", COOKIES
"https://careers.societegenerale.com/footer/Contact", CONTACT
"https://careers.societegenerale.com/footer/legal-information/Legal-information", LEGAL INFORMATION
"https://careers.societegenerale.com/footer/accessibilty-en/accessibility", ACCESSIBILTY
"https://careers.societegenerale.com/footer/Sitemap_RO", SITEMAP
"https://www.societegenerale.com/", SOCIETEGENERALE.COM
"https://www.societegenerale.com/en/content/group-websites", ALL SOCIETE GENERALE GROUP WEBSITES
"https://careers.societegenerale.com/footer/faqs-en/frequently-asked-question", FAQS
"https://careers.societegenerale.com/candidate-profile-creation/create-a-profile", Register
"https://careers.societegenerale.com/Search/job-offers-search-results?from=none&ob=0&pp=200&o=1#forgotPwd", Forgot password?
