Link, Anchor Text
"https://careers.societegenerale.com/Search/job-offers-search-results?from=none&ob=0&pp=200&o=1#mainContainer", Go to the content
"https://careers.societegenerale.com/Search/job-offers-search-results?from=none&ob=0&pp=200&o=1#searchForm", Search
"https://careers.societegenerale.com/Search/job-offers-search-results?from=none&ob=0&pp=200&o=1#menu", Go to the menu
"https://careers.societegenerale.com/", Home
"https://careers.societegenerale.com/Search/job-offers-search-results?localeHidden=cs_CZ", CS
"https://careers.societegenerale.com/Search/job-offers-search-results?localeHidden=de_DE", DE
"https://careers.societegenerale.com/Search/job-offers-search-results?localeHidden=en_GB", EN
"https://careers.societegenerale.com/Search/job-offers-search-results?localeHidden=es_ES", ES
"https://careers.societegenerale.com/Search/job-offers-search-results?localeHidden=fr_FR", FR
"https://careers.societegenerale.com/Search/job-offers-search-results?localeHidden=it_IT", IT
"https://careers.societegenerale.com/Search/job-offers-search-results?localeHidden=ro_RO", RO
"https://careers.societegenerale.com/Search/job-offers-search-results?localeHidden=ru_RU", RU
"https://careers.societegenerale.com/Search/job-offers-search-results?from=none&ob=0&pp=200&o=1#", 
"https://socgen.taleo.net/careersection/sgcareers/profile.ftl?lang=en-GB&src=CWS-1", CANDIDATE SPACE
"https://careers.societegenerale.com/about-us/discover-our-group/societe-generale-at-a-glance", ABOUT US
"https://careers.societegenerale.com/about-us/your-career-at-societe-generale/7-reasons-to-work-at-societe-generale", YOUR CAREER
"https://careers.societegenerale.com/activities", ACTIVITIES
"https://careers.societegenerale.com/business-units", BUSINESS UNITS
"https://careers.societegenerale.com/job-functions", JOB FUNCTIONS
"https://careers.societegenerale.com/locations", LOCATIONS
"https://careers.societegenerale.com/News-en/News", NEWS
"https://careers.societegenerale.com/Search/job-offers-search-results?from=none&ob=0&pp=200&o=1#searchInfo", 
"https://careers.societegenerale.com/Search/advanced-search", Search
"https://careers.societegenerale.com/Search/job-offers-search-results?from=none&ob=0&pp=200&o=0", 
"https://careers.societegenerale.com/Search/job-offers-search-results?from=none&ob=1&pp=200&o=0", 
"https://careers.societegenerale.com/Search/job-offers-search-results?from=none&ob=2&pp=200&o=0", 
"https://careers.societegenerale.com/Search/job-offers-search-results?from=none&ob=3&pp=200&o=0", 
"https://careers.societegenerale.com/Search/job-offers-search-results?from=none&ob=4&pp=200&o=0", 
"https://careers.societegenerale.com/Search/job-offers-search-results?from=none&ob=5&pp=200&o=0", 
"https://careers.societegenerale.com/job-offers/Client-Services-Analyst-18000LNT-en", Client Services Analyst
"https://careers.societegenerale.com/job-offers/Senior-Program-Delivery-Manager-180008VW-en", Senior Program Delivery Manager
"https://careers.societegenerale.com/job-offers/Technical-Lead--SG-Americas-Operational-Services--Inc---Chicago--IL--18000LK7-en", Technical Lead (SG Americas Operational Services, Inc., Chicago, IL)
"https://careers.societegenerale.com/job-offers/Business-Analyst---Equity-Derivatives-Volatility-Desk-18000KH5-en", Business Analyst - Equity Derivatives Volatility Desk
"https://careers.societegenerale.com/job-offers/E-Client-E-Commerce-On-Boarding-Specialist-18000817-en", E-Client/E-Commerce On Boarding Specialist
"https://careers.societegenerale.com/job-offers/Veteran-s-Program-18000K0U-en", Veteran's Program
"https://careers.societegenerale.com/job-offers/Vice-President---Strategic---Acquisition-Finance-18000K0S-en", Vice President - Strategic & Acquisition Finance
"https://careers.societegenerale.com/job-offers/Senior-Portfolio-Analyst-18000G5U-en", Senior Portfolio Analyst
"https://careers.societegenerale.com/job-offers/Volcker-Rule-and-Regulatory-Change-Management-Compliance-Officer-18000JOD-en", Volcker Rule and Regulatory Change Management Compliance Officer
"https://careers.societegenerale.com/job-offers/Trading-Assistant---US-Primary-Dealer-Rates-Trading-Desk-18000KJ3-en", Trading Assistant - US Primary Dealer/Rates Trading Desk
"https://careers.societegenerale.com/job-offers/Equipment-Finance---Customer-Service-Manager-18000FE2-en", Equipment Finance - Customer Service Manager
"https://careers.societegenerale.com/job-offers/Analyst--Financial-Institutions-Group-18000K0M-en", Analyst, Financial Institutions Group
"https://careers.societegenerale.com/job-offers/IT-Communication-Specialist-18000JOA-en", IT Communication Specialist
"https://careers.societegenerale.com/job-offers/Vice-President---Energy-Project-Finance-17000PQ2-en", Vice President - Energy Project Finance
"https://careers.societegenerale.com/job-offers/Associate---Energy-Project-Finance-18000HDC-en", Associate - Energy Project Finance
"https://careers.societegenerale.com/job-offers/Structure-Finance-Back-Office-Closing-Specialist-18000IYE-en", Structure Finance Back Office Closing Specialist
"https://careers.societegenerale.com/job-offers/Corporate-Real-Estate-Services---Facilities-Team-Lead-18000KBW-en", Corporate Real Estate Services - Facilities Team Lead
"https://careers.societegenerale.com/job-offers/Citrix-Engineer-18000JN3-en", Citrix Engineer
"https://careers.societegenerale.com/job-offers/Application-Support-Analyst---Equity-Derivatives-180009HZ-en", Application Support Analyst - Equity Derivatives
"https://careers.societegenerale.com/job-offers/ALM---Treasury-Business-Manager-180006NB-en", ALM & Treasury Business Manager
"https://careers.societegenerale.com/job-offers/Metals-and-Mining-Banker--SG-Americas-Securities--LLC--New-York--NY--18000JSQ-en", Metals and Mining Banker (SG Americas Securities, LLC, New York, NY)
"https://careers.societegenerale.com/job-offers/Senior-Auditor---Corporate-1800084V-en", Senior Auditor - Corporate
"https://careers.societegenerale.com/job-offers/Disaster-Recovery-Analyst-18000JIZ-en", Disaster Recovery Analyst
"https://careers.societegenerale.com/job-offers/Senior-KYC-Specialist-180008Q8-en", Senior KYC Specialist
"https://careers.societegenerale.com/job-offers/On-Boarding-Specialist-18000JI8-en", On Boarding Specialist
"https://careers.societegenerale.com/job-offers/Analyst--Commercial-Real-Estate-Structured-Finance-18000IYD-en", Analyst, Commercial Real Estate Structured Finance
"https://careers.societegenerale.com/job-offers/Middleware-Engineer---Kafka-180008K9-en", Middleware Engineer - Kafka
"https://careers.societegenerale.com/job-offers/Analyst--Client-Intelligence-18000GWV-en", Analyst, Client Intelligence
"https://careers.societegenerale.com/job-offers/Senior-Coverage-Banker---Healthcare-17000QA1-en", Senior Coverage Banker - Healthcare
"https://careers.societegenerale.com/job-offers/Senior-Credit-Analyst-18000B8J-en", Senior Credit Analyst
"https://careers.societegenerale.com/job-offers/M-A-Associate-17000VGV-en", M&A Associate
"https://careers.societegenerale.com/job-offers/Network-Data-Scientist-18000IYH-en", Network Data Scientist
"https://careers.societegenerale.com/job-offers/Quantitative-Modeler---Asset---Liability-Management-18000IU1-en", Quantitative Modeler - Asset & Liability Management
"https://careers.societegenerale.com/job-offers/Structured-Finance-Middle-Office-Manager-18000G07-en", Structured Finance Middle Office Manager
"https://careers.societegenerale.com/job-offers/Valuation-Specialist-18000GLL-en", Valuation Specialist
"https://careers.societegenerale.com/job-offers/Financial-Officer--Global-Transaction-Banking-18000GY0-en", Financial Officer, Global Transaction Banking
"https://careers.societegenerale.com/job-offers/AML-Specialist-1800075A-en", AML Specialist
"https://careers.societegenerale.com/job-offers/Senior-Project-Manager-18000I6P-en", Senior Project Manager
"https://careers.societegenerale.com/job-offers/Prime-Services-Capital-Introduction---Associate-18000D6K-en", Prime Services Capital Introduction - Associate
"https://careers.societegenerale.com/job-offers/Listed-Derivatives-Sales-Trader---Japan-Desk-180000EV-en", Listed Derivatives Sales Trader - Japan Desk
"https://careers.societegenerale.com/job-offers/Infrastructure-Security-Engineer-1800046U-en", Infrastructure Security Engineer
"https://careers.societegenerale.com/job-offers/Legal-Documentation-Negotiator-170011D7-en", Legal Documentation Negotiator
"https://careers.societegenerale.com/job-offers/Regulatory-Projects-Compliance-Officer-18000FOF-en", Regulatory Projects Compliance Officer
"https://careers.societegenerale.com/job-offers/Senior-Bank-Regulatory-Compliance-Officer-180008WN-en", Senior Bank Regulatory Compliance Officer
"https://careers.societegenerale.com/job-offers/Bank-Regulatory-Relations-Manager-1800075H-en", Bank Regulatory Relations Manager
"https://careers.societegenerale.com/job-offers/Compliance-Administrative-Assistant-180006BY-en", Compliance Administrative Assistant
"https://careers.societegenerale.com/job-offers/Senior-Compliance-Officer---Risk-Assessment-180004KM-en", Senior Compliance Officer - Risk Assessment
"https://careers.societegenerale.com/job-offers/Compliance-Advisory---Risk-18000668-en", Compliance Advisory - Risk
"https://careers.societegenerale.com/job-offers/Internal-Investigator-18000GHZ-en", Internal Investigator
"https://careers.societegenerale.com/job-offers/Senior-Infrastructure-Security---Risk-analyst-18000ACA-en", Senior Infrastructure Security / Risk analyst
"https://careers.societegenerale.com/job-offers/KYC-Policy---Procedures-Drafting-Specialist-1800030A-en", KYC Policy & Procedures Drafting Specialist
"https://careers.societegenerale.com/job-offers/KYC-Manager-170010X1-en", KYC Manager
"https://careers.societegenerale.com/job-offers/Collateral-Management-Analyst-170011TL-en", Collateral Management Analyst
"https://careers.societegenerale.com/job-offers/Sr-Documentation-Specialist-18000GUB-en", Sr Documentation Specialist
"https://careers.societegenerale.com/job-offers/Delta-One-Equities-Desk---Trade-Support-Analyst-170010O3-en", Delta One Equities Desk - Trade Support Analyst
"https://careers.societegenerale.com/job-offers/Client-Services-Team-Leader-18000EVL-en", Client Services Team Leader
"https://careers.societegenerale.com/job-offers/OTC-Settlements-Analyst-18000B8Y-en", OTC Settlements Analyst
"https://careers.societegenerale.com/job-offers/Project-Manager-180007E9-en", Project Manager
"https://careers.societegenerale.com/job-offers/Stress-Testing-Officer-18000GM1-en", Stress Testing Officer
"https://careers.societegenerale.com/job-offers/Junior-Quantitative-Advisor-18000GLT-en", Junior Quantitative Advisor
"https://careers.societegenerale.com/job-offers/Loan-Capital-Markets---Syndicate-17000WFK-en", Loan Capital Markets & Syndicate
"https://careers.societegenerale.com/job-offers/Investment-Banking-Associate---Strategic---Acquisition-Finance-180008PF-en", Investment Banking Associate - Strategic & Acquisition Finance
"https://careers.societegenerale.com/job-offers/Algo-Developer-18000CSV-en", Algo Developer
"https://careers.societegenerale.com/job-offers/Infrastructure-Capital-Markets-Associate-18000FOE-en", Infrastructure Capital Markets Associate
"https://careers.societegenerale.com/job-offers/Regulatory-Liaison-Officer-18000B8G-en", Regulatory Liaison Officer
"https://careers.societegenerale.com/job-offers/Quantitative-Advisor-1700131V-en", Quantitative Advisor
"https://careers.societegenerale.com/job-offers/Head-of-Project-Management-170015JY-en", Head of Project Management
"https://careers.societegenerale.com/job-offers/VP-Senior-Auditor--Credit-Risk-Review-18000EIQ-en", VP Senior Auditor- Credit Risk Review
"https://careers.societegenerale.com/job-offers/%E2%80%93G-Liquidity-Reporting-Analyst-18000BO5-en", 5G Liquidity Reporting Analyst
"https://careers.societegenerale.com/job-offers/Liquidity-Reporting-Analyst---Data-Quality-Control-180006N6-en", Liquidity Reporting Analyst - Data Quality Control
"https://careers.societegenerale.com/job-offers/On-boarding-Specialist-18000DUR-en", On-boarding Specialist
"https://careers.societegenerale.com/job-offers/Credit-Analyst-17000T49-en", Credit Analyst
"https://careers.societegenerale.com/job-offers/Credit-Analyst-18000AQ5-en", Credit Analyst
"https://careers.societegenerale.com/job-offers/Senior-Operational-Risk-Manager-170011DB-en", Senior Operational Risk Manager
"https://careers.societegenerale.com/job-offers/Senior-Credit---Counterparty-Risk-Analyst-1700159U-en", Senior Credit & Counterparty Risk Analyst
"https://careers.societegenerale.com/job-offers/FAST-Technical-Security-Project-Manager---VP-18000ACB-en", FAST Technical Security Project Manager - VP
"https://careers.societegenerale.com/job-offers/C---Low-Latency-Developer-17000ZEF-en", C++ Low Latency Developer
"https://careers.societegenerale.com/job-offers/IT-Risk-Manager-18000AHG-en", IT Risk Manager
"https://careers.societegenerale.com/job-offers/VP--Sr-Capital-Markets-Auditor-180003OR-en", VP- Sr Capital Markets Auditor
"https://careers.societegenerale.com/job-offers/Collateral-Management-Specialist-170014LM-en", Collateral Management Specialist
"https://careers.societegenerale.com/job-offers/KYC-Policy---Procedures-Senior-Specialist-180005IZ-en", KYC Policy & Procedures Senior Specialist
"https://careers.societegenerale.com/job-offers/Algorithmic-Trading-Developer---C---17000BJ9-en", Algorithmic Trading Developer - C++
"https://careers.societegenerale.com/job-offers/Junior-Trader---Hybrids-180007K0-en", Junior Trader - Hybrids
"https://careers.societegenerale.com/job-offers/Trader---Equity-Index-Options-180007K2-en", Trader - Equity Index Options
"https://careers.societegenerale.com/job-offers/Senior-Collateral-Management-Specialist-180007JX-en", Senior Collateral Management Specialist
"https://careers.societegenerale.com/job-offers/Front-Office-Quantitative-Developer-18000488-en", Front Office Quantitative Developer
"https://careers.societegenerale.com/job-offers/Risk-Management-Officer---Trading-180000CS-en", Risk Management Officer - Trading
"https://careers.societegenerale.com/job-offers/Pricing-Model-Validation-Associate-17000XIE-en", Pricing Model Validation Associate
"https://careers.societegenerale.com/job-offers/Trade-Finance-Banker-17000LIJ-en", Trade Finance Banker
"https://careers.societegenerale.com/job-offers/Trade-Finance-Middle-Office---Sales-Support-17000QN3-en", Trade Finance Middle Office / Sales Support
"https://careers.societegenerale.com/job-offers/Derivatives-Strategist-170000X6-en", Derivatives Strategist
"https://careers.societegenerale.com/job-offers/Innovation-Manager-17000Q94-en", Innovation Manager
"http://youtu.be/gOm6-xbndHY", Discover a Woman Shadowing Day
"http://youtu.be/poIItIVPgB0", Listen to the debrief on the Woman Shadowing Day
"http://youtu.be/YPy_gMm_rxE", #6 Elevator Speech - Romaine - Chargée de conformité
"http://youtu.be/RvrelfOgFvQ", #1 - INTERRO SURPRISE - La cybersécurité
"http://youtu.be/bkMRHlKCGrM", LA CYBERSECURITE par notre expert Stéphane
"https://www.youtube.com/playlist?list=PLO28QHeP4SE6s6hcc5_PcYVbZ2EiBZOQq", 
"https://www.facebook.com/careers.societegenerale", 
"https://www.linkedin.com/company/societe-generale/careers", 
"https://www.youtube.com/playlist?list=PL00692FE6571605F7", 
"https://twitter.com/careerssocgen", 
"https://careers.societegenerale.com/Bottom-Navigation/social-networks/socialnetworks", 
"https://careers.societegenerale.com/Bottom-Navigation/advice/the-cover-letter", ADVICE
"https://careers.societegenerale.com/footer/Cookies-en/Cookies", COOKIES
"https://careers.societegenerale.com/footer/Contact", CONTACT
"https://careers.societegenerale.com/footer/legal-information/Legal-information", LEGAL INFORMATION
"https://careers.societegenerale.com/footer/accessibilty-en/accessibility", ACCESSIBILTY
"https://careers.societegenerale.com/footer/Sitemap_RO", SITEMAP
"https://www.societegenerale.com/", SOCIETEGENERALE.COM
"https://www.societegenerale.com/en/content/group-websites", ALL SOCIETE GENERALE GROUP WEBSITES
"https://careers.societegenerale.com/footer/faqs-en/frequently-asked-question", FAQS
"https://careers.societegenerale.com/candidate-profile-creation/create-a-profile", Register
